,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
229,EF746A04EF140FAE6B02415A131B234BF0763F14,2015,제주,5인 ~ 9인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
230,E9C224C0D5598E67546329661AA3803C7BC7FE40,2015,제주,20인 ~ 49인,등유(구:실내등유),등유(구:실내등유),23326,콘크리트관 및 기타 구조용 콘크리트제품 제조업,-
231,E28ABE6AB7DE0382102AE8F87CE7BB18C03488E7,2015,제주,20인 ~ 49인,전력,전력,10792,차류 가공업,-
232,7723C3DACA243EC3A0891831CB0A8CB59A22E0C9,2015,제주,10인 ~ 19인,경유,경유,10713,코코아 제품 및 과자류 제조업,-
233,08CE4A43305190045D8DC4E1C92A5E17E725173A,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
234,021B501803C93915B2D6C58FFE2B30A7AAD7D559,2015,제주,10인 ~ 19인,전력,전력,29210,농업 및 임업용 기계 제조업,-
235,C92201A5BA8F65C765AF24E69CD20A37562BC5A0,2015,제주,5인 ~ 9인,전력,전력,23322,레미콘 제조업,-
236,A59B276BE7DE75B8581F19D77F39867947F887F7,2015,제주,300인 ~ 499인,경유,경유,11202,생수 생산업,-
237,B7606F48F921E9D0E291DB6DADA0C52D672599D3,2015,제주,10인 ~ 19인,전력,전력,33910,간판 및 광고물 제조업,-
238,ED20AAFC630E091D445F35ECBAAB88F815025B54,2015,제주,20인 ~ 49인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
239,C48C486BB22C1E6965FF951472930DAD55A70FCB,2015,제주,5인 미만,휘발유,휘발유,15129,가방 및 기타 보호용 케이스 제조업,-
240,EA3B7DD642A1AED9885811C776A3D6B67946E619,2015,제주,5인 미만,경유,경유,10129,기타 육류 가공 및 저장처리업,-
241,BF2F2CBF4CDB5268F2CE1A4165A9BA4756C19CDD,2015,제주,5인 ~ 9인,전력,전력,20209,기타 비료 및 질소화합물 제조업,-
242,3B3E6C064D7E2FC05130C34B751E6054DDCB8389,2015,제주,20인 ~ 49인,전력,전력,10309,기타 과실·채소 가공 및 저장처리업,-
243,AD9D42ECED6F6CE0A398F9EF663003A912DC5B21,2015,제주,5인 미만,전력,전력,23211,가정용 및 장식용 도자기 제조업,-
244,171F91E5660A85E0F3A7AD235666389A3076C0CC,2015,제주,20인 ~ 49인,경유,경유,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",-
245,C90A2CD058D1723025EEF20A7464402437CA1B82,2015,제주,10인 ~ 19인,전력,전력,20499,그외 기타 분류안된 화학제품 제조업,-
246,808CC831DE9C983AC17DF556D0D3094786D86577,2015,제주,5인 ~ 9인,경유,경유,23911,건설용 석제품 제조업,-
247,8E68B7CC166D226484CC87FBFFA626AD7FDAA33E,2015,제주,10인 ~ 19인,경유,경유,10129,기타 육류 가공 및 저장처리업,-
248,2B20FE275F168054427FCE1AAC7F8AE8469544C6,2015,제주,5인 미만,전력,전력,27192,정형외과용 및 신체보정용 기기 제조업,-
249,4C5C978E3481FF533AEBFD4F49F101EE1B54E4DA,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
250,81E826835C9EF2CEA7E80D61FEED46E480DDFACF,2015,제주,20인 ~ 49인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
251,EB8916A60C0E22C5421DDA9E8C67F2FDF2AC2E29,2015,제주,20인 ~ 49인,전력,전력,10798,도시락 및 식사용 조리식품 제조업,-
252,632291767E07FF66C08636169287463262B5C6AF,2015,제주,20인 ~ 49인,경유,경유,20202,복합비료 제조업,-
